sample_type,alias_name,test_type,loinc_code,component,loinc_name
혈액,LFT,CHEM,15349-4,alkaline phosphatase.liver 2/alkaline phosphatase.total,alkaline phosphatase.liver 2/alkaline phosphatase.total in serum or plasma
혈액,LFT,ALLERGY,15820-4,liver beef ab.ige.rast class,deprecated liver beef ige ab rast class [presence] in serum
혈액,LFT,CHEM,1779-8,alkaline phosphatase.liver,alkaline phosphatase.liver [enzymatic activity/volume] in serum or plasma
혈액,LFT,SERO,21423-9,nuclear ab,nuclear ab [titer] in serum by immunofluorescence (if) rat liver
혈액,LFT,SERO,30535-9,liver kidney microsomal 1 ab,liver kidney microsomal 1 ab [presence] in serum
혈액,LFT,CHEM,32135-6,alkaline phosphatase.liver,alkaline phosphatase.liver [enzymatic activity/volume] in serum or plasma by heat stability
혈액,LFT,SERO,32219-8,soluble liver ab,soluble liver ab [units/volume] in serum by immunoassay
혈액,LFT,SERO,32220-6,liver kidney microsomal 1 ab,liver kidney microsomal 1 ab [units/volume] in serum
혈액,LFT,DOC.REF,34079-4,labor & delivery section,fda package insert labor and delivery section
혈액,LFT,SERO,34621-3,liver cytosol ab,liver cytosol ab [units/volume] in serum
혈액,LFT,SERO,38420-6,soluble liver ab.igg,soluble liver igg ab [units/volume] in serum by immunoassay
혈액,LFT,CHEM,40795-7,alkaline phosphatase.liver 2,alkaline phosphatase.liver 2 [presence] in serum or plasma
혈액,LFT,CHEM,40796-5,alkaline phosphatase.liver 1,alkaline phosphatase.liver 1 [presence] in serum or plasma
혈액,LFT,SERO,42199-0,soluble liver ab,soluble liver ab [presence] in serum by immunoassay
혈액,LFT,SERO,43202-1,liver kidney microsomal 1 ab.igg,liver kidney microsomal 1 igg ab [units/volume] in serum
혈액,LFT,SERO,43234-4,liver kidney microsomal 1 ab.igg,liver kidney microsomal 1 igg ab [presence] in serum
혈액,LFT,CHEM,43708-7,alkaline phosphatase.liver+bone,alkaline phosphatase.liver+bone [presence] in serum or plasma
혈액,LFT,CHEM,43939-8,alkaline phosphatase.liver,alkaline phosphatase.liver [presence] in serum or plasma
혈액,LFT,SERO,46982-5,liver kidney microsomal ab.igg,liver kidney microsomal igg ab [titer] in serum by immunofluorescence
혈액,LFT,SERO,47318-1,liver kidney microsomal 1 ab.igg,liver kidney microsomal 1 igg ab [units/volume] in serum by immunoassay
혈액,LFT,CHEM,48795-9,liver fibrosis score,fibrosis score
혈액,LFT,SERO,50629-5,liver kidney microsomal ab.igg,liver kidney microsomal igg ab [titer] in serum
혈액,LFT,SERO,53030-3,liver kidney microsomal ab,liver kidney microsomal ab [presence] in serum by immunofluorescence
혈액,LFT,SERO,54026-0,soluble liver ab,deprecated soluble liver ab [units/volume] in serum
혈액,LFT,SERO,54029-4,soluble liver ab,deprecated soluble liver ab [presence] in serum
혈액,LFT,SERO,54147-4,autoantibodies,autoantibodies [interpretation] in serum by immunofluorescence (if) rat liver+stomach+kidney substrate narrative
혈액,LFT,SERO,56719-8,liver cytosol ab,liver cytosol ab [presence] in serum by immunoblot
혈액,LFT,SERO,56722-2,soluble liver ab,soluble liver ab [presence] in serum by immunoblot
혈액,LFT,SERO,56760-2,liver kidney microsomal ab,liver kidney microsomal ab [presence] in serum by immunoblot
혈액,LFT,SERO,57434-3,liver kidney microsomal 1 ab,liver kidney microsomal 1 ab [titer] in serum by immunofluorescence
혈액,LFT,SERO,57450-9,soluble liver ab,deprecated soluble liver ab [presence] in serum by immunoassay
혈액,LFT,SERO,57748-6,liver cytosol ab,liver cytosol ab [presence] in serum by immunoassay
혈액,LFT,SERO,58907-7,liver kidney microsomal 1 ab,liver kidney microsomal 1 ab [presence] in serum by immunofluorescence
혈액,LFT,SERO,59072-9,liver kidney microsomal 1 ab,liver kidney microsomal 1 ab [presence] in serum by immunoblot
혈액,LFT,SERO,63274-5,liver kidney microsomal 2 ab,liver kidney microsomal 2 ab [presence] in serum by immunofluorescence
혈액,LFT,SERO,63275-2,liver kidney microsomal 2 ab,liver kidney microsomal 2 ab [titer] in serum by immunofluorescence
혈액,LFT,SERO,63395-8,liver cytosol ab,liver cytosol ab [titer] in serum by immunofluorescence
혈액,LFT,SERO,69952-0,liver kidney microsomal 1 ab.igg,liver kidney microsomal 1 igg ab [presence] in serum by immunoassay
혈액,LFT,ALLERGY,7144-9,liver beef basophil bound ab,liver beef triggered histamine release [units/volume] in blood
혈액,LFT,ALLERGY,7468-2,liver ab.ige,liver ige ab [units/volume] in serum
혈액,LFT,ALLERGY,7469-0,liver calf ab.ige,liver calf ige ab [units/volume] in serum
혈액,LFT,PATH,77616-1,liver fibrosis score,liver fibrosis score in serum or plasma calculated by fibrometer
혈액,LFT,SERO,78433-0,soluble liver ab.igg,soluble liver igg ab [presence] in serum by line blot
혈액,LFT,PANEL.CHEM,78698-8,liver fibrosis score panel,liver fibrosis score panel - serum or plasma calculated by hepascore
혈액,LFT,PANEL.CHEM,78699-6,liver fibrosis score panel,liver fibrosis score panel - serum or plasma calculated by fibrometer
혈액,LFT,CHEM,78894-3,liver fibrosis score,liver fibrosis score in serum or plasma calculated by hepascore
혈액,LFT,SERO,82842-6,liver kidney microsomal ab.igg,liver kidney microsomal igg ab [presence] in serum by immunofluorescence
혈액,LFT,SERO,82921-8,liver cytosol ab.igg,liver cytosol igg ab [presence] in serum by line blot
혈액,LFT,PANEL.SERO,85092-5,liver diseases autoimmune ab.igg panel,liver diseases autoimmune igg panel - serum or plasma by line blot
혈액,LFT,CHEM,88055-9,liver fibrosis score,liver fibrosis score in serum or plasma by calculated by elf
혈액,LFT,CHEM,88447-8,liver fibrosis interpretation,liver fibrosis interpretation in serum qualitative
혈액,LFT,SERO,90292-4,liver cancer antibodies & alpha-1-fetoprotein,liver cancer antibodies and afp [interpretation] in serum or plasma qualitative
혈액,LFT,PANEL.SERO,90293-2,liver cancer antibodies & alpha-1-fetoprotein panel,liver cancer antibodies and afp panel - serum or plasma by immunoassay
혈액,LFT,CHEM,93695-5,liver steatosis score,liver steatosis score in serum or plasma
혈액,LFT,CHEM,93696-3,liver steatosis grade,liver steatosis grade in serum or plasma qualitative
혈액,LFT,CHEM,93697-1,liver steatosis interpretation,liver steatosis interpretation in serum or plasma qualitative
혈액,LFT,PANEL.SERO,94700-2,liver diseases autoimmune ab panel,liver diseases autoimmune ab panel - serum or plasma
혈액,LFT,SERO,9838-4,liver kidney microsomal ab,liver kidney microsomal ab [titer] in serum by immunofluorescence
혈액,LFT,CHEM,98488-0,liver fibrosis score,liver fibrosis score in serum calculated by fib4
혈액,LFT,ALLERGY,102136-9,alternaria alternata ab.ige,alternaria alternata ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102217-7,tamarix spp ab.ige,saltcedar ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102347-2,distichlis spicata ab.ige,salt grass ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102424-9,malt ab.ige,malt ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102584-0,saltbush ab.ige,saltbush ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102627-7,salsola kali ab.ige,saltwort ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102674-9,alternaria alternata ab.igg,alternaria alternata igg ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102767-1,malt ab.igg,malt igg ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102813-3,saltbush annual ab.ige,annual saltbush ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102834-9,ailanthus altissima ab.ige,tree of heaven ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102849-7,alternaria sp ab.ige,alternaria sp ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,102923-0,alternaria alternata ab.igg4,alternaria alternata igg4 ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,103048-5,salsola kali native (nsal k) 1 ab.ige,saltwort native (nsal k) 1 ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,103102-0,alternaria alternata recombinant (ralt a) 1 ab.ige,alternaria alternata recombinant (ralt a) 1 ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,103132-7,maltose binding protein ab.ige,maltose binding protein ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,104644-0,cobalt ab.ige,cobalt ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,DRUG/TOX,104862-8,cobalt ab.ige,cobalt ige ab [units/volume] in serum
혈액,LFT,MICRO,105775-1,stenotrophomonas maltophilia dna,stenotrophomonas maltophilia dna [cycle threshold #] in positive blood culture by naa with probe detection
혈액,LFT,ALLERGY,106441-9,saltbush annual ab.ige,annual saltbush ige ab [presence] in serum or plasma by radioallergosorbent test (rast)
혈액,LFT,ALLERGY,106513-5,annual salt bush ab.ige,annual salt bush ige ab [units/volume] in serum or plasma by immunoassay
혈액,LFT,DRUG/TOX,10994-2,naltrexone,naltrexone [mass/volume] in serum or plasma
혈액,LFT,DRUG/TOX,12407-3,6-beta naltrexone,deprecated 6-beta naltrexone [mass/volume] in serum or plasma
혈액,LFT,HEM/BC,13087-2,complement alternate pathway ah50,complement alternate pathway ah50 [units/volume] in serum or plasma
혈액,LFT,DRUG/TOX,15119-1,cobalt,cobalt [moles/volume] in blood
혈액,LFT,ALLERGY,15233-0,(alternaria alternata+aspergillus fumigatus+candida albicans+cladosporium herbarum+penicillium notatum) ab.ige,mold allergen mix a (alternaria alternata+aspergillus fumigatus+candida albicans+setomelanomma rostrata+penicillium notatum) ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,15234-8,(alternaria alternata+aspergillus fumigatus+candida albicans+cladosporium herbarum+setomelanomma rostrata+penicillium notatum) ab.ige,mold allergen mix 2 (alternaria alternata+aspergillus fumigatus+candida albicans+cladosporium herbarum+setomelanomma rostrata+penicillium notatum) ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,15237-1,(alternaria alternata+aspergillus fumigatus+rye pollen+wheat pollen) ab.ige,occupational allergen mix 3 (alternaria alternata+aspergillus fumigatus+rye pollen+wheat pollen) ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,15257-9,(alternaria alternata+cat dander+dermatophagoides farinae+dog dander+horse dander) ab.ige,regional allergen mix 2 (alternaria alternata+cat dander+american house dust mite+dog dander+horse dander) ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,15271-0,(ambrosia elatior+artemisia vulgaris+chenopodium album+plantago lanceolata+salsola kali) ab.ige,weed allergen mix 1 (common ragweed+mugwort+goosefoot or lambs quarters+english plantain+saltwort) ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,15275-1,(plantago lanceolata+chenopodium album+salsola kali+rumex acetosella) ab.ige,weed allergen mix 6 (english plantain+goosefoot or lambs quarters+saltwort+sheep sorrel) ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,15530-9,alternaria alternata ab.ige.rast class,deprecated alternaria alternata ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15531-7,alternaria alternata ab.ige.rast class,deprecated alternaria alternata ige ab rast class in serum
혈액,LFT,ALLERGY,15617-4,tamarix spp ab.ige.rast class,deprecated saltcedar ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15752-9,distichlis spicata ab.ige.rast class,deprecated salt grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15831-1,malt ab.ige.rast class,deprecated malt ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,16007-7,saltbush ab.ige.rast class,deprecated saltbush ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,16052-3,salsola kali ab.ige.rast class,deprecated saltwort ige ab rast class [presence] in serum
혈액,LFT,DRUG/TOX,16753-6,dialtrazene,deprecated dialtrazene
혈액,LFT,ALLERGY,21065-8,alternaria alternata ab.igg.rast class,deprecated alternaria alternata igg ab rast class [presence] in serum
혈액,LFT,ALLERGY,21379-3,malt ab.igg.rast class,deprecated malt igg ab rast class [presence] in serum
혈액,LFT,ALLERGY,21515-2,saltbush annual ab.ige.rast class,deprecated annual saltbush ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,21578-0,ailanthus altissima ab.ige.rast class,deprecated tree of heaven ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,23800-6,(alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ab.ige,mold allergen mix 1 (alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,23813-9,alternaria sp ab.ige.rast class,deprecated alternaria sp ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,24152-1,alternaria alternata ab.igg,deprecated alternaria alternata+alternaria tenuis igg ab [units/volume] in serum
혈액,LFT,ALLERGY,24480-6,(ambrosia elatior+artemisia vulgaris+chenopodium album+plantago lanceolata+salsola kali) ab.ige,weed allergen mix 1 (common ragweed+mugwort+goosefoot or lambs quarters+english plantain+saltwort) ige ab [units/volume] in serum by multidisk
혈액,LFT,ALLERGY,24481-4,(ambrosia elatior+artemisia vulgaris+chenopodium album+plantago lanceolata+salsola kali) ab.ige.rast class,weed allergen mix 1 (common ragweed+mugwort+goosefoot or lambs quarters+english plantain+saltwort) ige ab rast class [presence] in serum by multidisk
혈액,LFT,ALLERGY,24485-5,(alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ab.ige.rast class,mold allergen mix 1 (alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ige ab rast class [presence] in serum by multidisk
혈액,LFT,MICRO,25306-2,alternaria alternata ab.igg,deprecated alternaria alternata igg ab [units/volume] in serum
혈액,LFT,MICRO,25307-0,alternaria alternata ab.igg.rast class,deprecated alternaria alternata igg ab rast class in serum
혈액,LFT,DRUG/TOX,25378-1,cobalt,cobalt [moles/volume] in serum or plasma
혈액,LFT,ALLERGY,26403-6,alternaria alternata ab.igg4,alternaria alternata igg4 ab [units/volume] in serum
혈액,LFT,ALLERGY,26404-4,alternaria alternata ab.igg4.rast class,deprecated alternaria alternata igg4 ab rast class [presence] in serum
혈액,LFT,MICRO,26951-4,alternaria alternata ab.igg,alternaria alternata igg ab [mass/volume] in serum
혈액,LFT,ALLERGY,30031-9,(alternaria alternata+dermatophagoides farinae) ab.igg,alternaria alternata+american house dust mite igg ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,30037-6,(alternaria alternata+dermatophagoides farinae) ab.ige,alternaria alternata+american house dust mite ige ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,30183-8,(alternaria alternata+aspergillus fumigatus+candida albicans+cladosporium herbarum+setomelanomma rostrata+penicillium notatum) ab.ige,mold allergen mix 2 (alternaria alternata+aspergillus fumigatus+candida albicans+cladosporium herbarum+setomelanomma rostrata+penicillium notatum) ige ab [units/volume] in serum by multidisk
혈액,LFT,ALLERGY,34233-7,alternaria sp ab.igg,alternaria sp igg ab [presence] in serum by immune diffusion (id)
혈액,LFT,ALLERGY,39570-7,alternaria sp ab.igg,alternaria sp igg ab [mass/volume] in serum
혈액,LFT,ALLERGY,39578-0,alternaria alternata ab,alternaria alternata ab [mass/volume] in serum
혈액,LFT,MICRO,40837-7,alternaria sp ab.igg,alternaria sp igg ab [presence] in serum
혈액,LFT,ALLERGY,40996-1,alternaria alternata ab.ige/ige.total,alternaria alternata ige ab/ige total in serum
혈액,LFT,ALLERGY,41742-8,(alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ab.ige,mold allergen mix 1 (alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ige ab [units/volume] in serum by multidisk
혈액,LFT,MOLPATH.MUT,42318-6,galt gene targeted mutation analysis,galt gene mutations found [identifier] in blood or tissue by molecular genetics method nominal
혈액,LFT,MOLPATH.MUT,42940-7,galt gene allele 1,galt gene allele 1 [presence] in blood by molecular genetics method
혈액,LFT,MOLPATH.MUT,42941-5,galt gene allele 2,galt gene allele 2 [presence] in blood by molecular genetics method
혈액,LFT,ALLERGY,45163-3,alternaria alternata ab,alternaria alternata ab [presence] in serum
혈액,LFT,HEM/BC,4595-5,hemoglobin j-baltimore,hemoglobin j - baltimore [presence] in blood by electrophoresis acid (ph 6.3)
혈액,LFT,HEM/BC,4596-3,hemoglobin j-baltimore,hemoglobin j - baltimore [presence] in blood by electrophoresis alkaline (ph 8.9)
혈액,LFT,HEM/BC,4613-6,hemoglobin n-baltimore,hemoglobin n - baltimore [presence] in blood by electrophoresis acid (ph 6.3)
혈액,LFT,HEM/BC,4614-4,hemoglobin n-baltimore,hemoglobin n - baltimore [presence] in blood by electrophoresis alkaline (ph 8.9)
혈액,LFT,ALLERGY,51540-3,alternaria alternata ab.igg,alternaria alternata igg ab [presence] in serum
혈액,LFT,ALLERGY,51861-3,(alternaria alternata+cladosporium herbarum+mucor racemosus+penicillium notatum) ab.igg,mold allergen mix 6 (alternaria alternata+cladosporium herbarum+mucor racemosus+penicillium notatum) igg ab [presence] in serum by multidisk
혈액,LFT,ALLERGY,51922-3,malt ab.igg,malt igg ab [mass/volume] in serum
혈액,LFT,HL7.GENETICS,53045-1,reference sequence alteration,reference sequence alteration [identifier]
혈액,LFT,PANEL.DRUG/TOX,55116-8,ceh volatile organic compounds panel,centers for environmental health volatile organic compounds panel [mass/volume] - serum or plasma
혈액,LFT,ALLERGY,56170-4,alternaria alternata ab.igg4,alternaria alternata igg4 ab [mass/volume] in serum
혈액,LFT,DRUG/TOX,5625-9,cobalt,cobalt [mass/volume] in blood
혈액,LFT,DRUG/TOX,5627-5,cobalt,cobalt [mass/volume] in serum or plasma
혈액,LFT,ALLERGY,56312-2,malt ab.igg4,malt igg4 ab [mass/volume] in serum
혈액,LFT,ALLERGY,56380-9,salsola kali ab.igg4,saltwort igg4 ab [mass/volume] in serum
혈액,LFT,ALLERGY,56465-8,distichlis spicata ab.igg4,salt grass igg4 ab [mass/volume] in serum
혈액,LFT,MICRO,57033-3,alternaria alternata ab,alternaria alternata ab [presence] in serum by immune diffusion (id)
혈액,LFT,ALLERGY,58774-1,alternaria alternata recombinant (ralt a) 1 ab.ige,alternaria alternata recombinant (ralt a) 1 ige ab [units/volume] in serum
혈액,LFT,ALLERGY,6020-2,alternaria alternata ab.ige,alternaria alternata ige ab [units/volume] in serum
혈액,LFT,ALLERGY,61201-0,(alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ab.ige/ige.total,mold allergen mix 1 (alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) ige ab/ige total in serum by multidisk
혈액,LFT,ALLERGY,61202-8,(ambrosia elatior+artemisia vulgaris+chenopodium album+plantago lanceolata+salsola kali) ab.ige/ige.total,weed allergen mix 1 (common ragweed+mugwort+goosefoot or lambs quarters+english plantain+saltwort) ige ab/ige total in serum by multidisk
혈액,LFT,ALLERGY,61311-7,salsola kali ab.ige/ige.total,saltwort ige ab/ige total in serum
혈액,LFT,ALLERGY,6166-3,malt ab.ige,malt ige ab [units/volume] in serum
혈액,LFT,ALLERGY,6234-9,salsola kali ab.ige,saltwort ige ab [units/volume] in serum
혈액,LFT,ALLERGY,6238-0,distichlis spicata ab.ige,salt grass ige ab [units/volume] in serum
혈액,LFT,ALLERGY,63187-9,salsola kali ab.igg,saltwort igg ab [mass/volume] in serum
혈액,LFT,ALLERGY,63196-0,(alternaria alternata+dermatophagoides farinae) ab.igg,alternaria alternata+american house dust mite igg ab [mass/volume] in serum by multidisk
혈액,LFT,ALLERGY,63198-6,(plantago lanceolata+chenopodium album+salsola kali+rumex acetosella) ab.ige,weed allergen mix 6 (english plantain+goosefoot or lambs quarters+saltwort+sheep sorrel) ige ab [units/volume] in serum by multidisk
혈액,LFT,ALLERGY,64977-2,alternaria alternata recombinant (ralt a) 6 ab.ige,alternaria alternata recombinant (ralt a) 6 ige ab [units/volume] in serum
혈액,LFT,ALLERGY,65784-1,salsola kali native (nsal k) 1 ab.ige,saltwort native (nsal k) 1 ige ab [units/volume] in serum
혈액,LFT,MOLPATH.REARRANGE,66950-7,malt1 18q21 gene rearrangements,malt1 18q21 gene rearrangements in blood or tissue by fish
혈액,LFT,ALLERGY,6828-8,alternaria alternata ab.ige,deprecated alternaria alternata ige ab [units/volume] in serum
혈액,LFT,HL7.GENETICS,69551-0,variable nucleotide,genomic alt allele [id]
혈액,LFT,MOLPATH.MUT,70248-0,galt gene.p.gln188arg,galt gene p.gln188arg [presence] in blood or tissue by molecular genetics method
혈액,LFT,ALLERGY,7074-8,alternaria sp ab.ige,alternaria sp ige ab [units/volume] in serum
혈액,LFT,ALLERGY,7075-5,alternaria sp ab.igg,alternaria sp igg ab [units/volume] in serum
혈액,LFT,ALLERGY,7076-3,alternaria alternata ab.igg,alternaria alternata igg ab [units/volume] in serum
혈액,LFT,ALLERGY,7077-1,alternaria alternata basophil bound ab,alternaria alternata triggered histamine release [units/volume] in blood
혈액,LFT,ALLERGY,71375-0,(alternaria tenuis+artemisia vulgaris+betula verrucosa+cladosporium herbarum+phleum pratense) ab.ige,inhalant allergen mix 6 (alternaria tenuis+mugwort+silver birch+cladosporium herbarum+timothy grass) ige ab [units/volume] in serum by multidisk
혈액,LFT,DOC.REF,71744-7,health care provider letter,fda package insert health care provider letter
혈액,LFT,ALLERGY,7196-9,tamarix spp ab.ige,saltcedar ige ab [units/volume] in serum
혈액,LFT,DRUG/TOX,72835-2,raltegravir,raltegravir [mass/volume] in serum or plasma
혈액,LFT,HEM/BC,74520-8,complement alternate pathway ah50 actual/normal,complement alternate pathway ah50 actual/normal in serum by immunoassay
혈액,LFT,ALLERGY,7476-5,malt ab.igg,malt igg ab [units/volume] in serum
혈액,LFT,MOLPATH.MUT,76037-1,galt gene full mutation analysis,galt gene full mutation analysis in blood or tissue by sequencing
혈액,LFT,ALLERGY,7671-1,salsola kali ab.igg,saltwort igg ab [units/volume] in serum
혈액,LFT,ALLERGY,7686-9,saltbush ab.ige,saltbush ige ab [units/volume] in serum
혈액,LFT,ALLERGY,7687-7,saltbush annual ab.ige,annual saltbush ige ab [units/volume] in serum
혈액,LFT,MOLPATH.TRNLOC,77035-4,"t(14;18)(q32;q21)(igh,malt1) fusion transcript","t(14;18)(q32;q21)(igh,malt1) fusion transcript in blood or tissue by fish"
혈액,LFT,MOLPATH.TRNLOC,77036-2,"t(11;18)(q21;q21)(birc3,malt1) fusion transcript","t(11;18)(q21;q21)(birc3,malt1) fusion transcript in blood or tissue by fish"
혈액,LFT,ALLERGY,7744-6,ailanthus altissima ab.ige,tree of heaven ige ab [units/volume] in serum
혈액,LFT,ALLERGY,81967-2,salsola kali native (nsal k) 1 ab.ige.rast class,deprecated saltwort native (nsal k) 1 ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,82021-7,alternaria alternata recombinant (ralt a) 1 ab.ige.rast class,deprecated alternaria alternata recombinant (ralt a) 1 ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,82043-1,(plantago lanceolata+chenopodium album+salsola kali+rumex acetosella) ab.ige.rast class,weed allergen mix 6 (english plantain+goosefoot or lambs quarters+saltwort+sheep sorrel) ige ab rast class [presence] in serum by multidisk
혈액,LFT,ALLERGY,82083-7,(alternaria alternata+aspergillus fumigatus+candida albicans+cladosporium herbarum+setomelanomma rostrata+penicillium notatum) ab.ige.rast class,mold allergen mix 2 (alternaria alternata+aspergillus fumigatus+candida albicans+cladosporium herbarum+setomelanomma rostrata+penicillium notatum) ige ab rast class [presence] in serum by multidisk
혈액,LFT,ALLERGY,82089-4,(alternaria alternata+aspergillus fumigatus+rye pollen+wheat pollen) ab.ige.rast class,occupational allergen mix 3 (alternaria alternata+aspergillus fumigatus+rye pollen+wheat pollen) ige ab rast class [presence] in serum by multidisk
혈액,LFT,ALLERGY,82090-2,(alternaria alternata+aspergillus fumigatus+rye pollen+wheat pollen) ab.ige,occupational allergen mix 3 (alternaria alternata+aspergillus fumigatus+rye pollen+wheat pollen) ige ab [units/volume] in serum by multidisk
혈액,LFT,ALLERGY,82104-1,(alternaria alternata+cat dander+dermatophagoides farinae+dog dander+horse dander) ab.ige.rast class,regional allergen mix 2 (alternaria alternata+cat dander+american house dust mite+dog dander+horse dander) ige ab rast class [presence] in serum by multidisk
혈액,LFT,ALLERGY,82105-8,(alternaria alternata+cat dander+dermatophagoides farinae+dog dander+horse dander) ab.ige,regional allergen mix 2 (alternaria alternata+cat dander+american house dust mite+dog dander+horse dander) ige ab [units/volume] in serum by multidisk
혈액,LFT,DRUG/TOX,82526-5,6-beta naltrexol,6-beta naltrexol [mass/volume] in serum or plasma
혈액,LFT,ALLERGY,82556-2,(alternaria tenuis+artemisia vulgaris+betula verrucosa+cladosporium herbarum+phleum pratense) ab.ige.rast class,inhalant allergen mix 6 (alternaria tenuis+mugwort+silver birch+cladosporium herbarum+timothy grass) ige ab rast class [presence] in serum by multidisk
혈액,LFT,DOC.ONTOLOGY,84206-2,note,mental health observation unit note
혈액,LFT,MOLPATH.TRNLOC,87826-4,"t(11;18)(q21;q21)(birc3,malt1) fusion transcript","t(11;18)(q21;q21)(birc3,malt1) fusion transcript in blood or tissue by molecular genetics method"
